original_label;group_pft;group_ord;group_fam
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Anomura_Porcellanidae_larvae;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Brachyura_megalopa;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Brachyura_zoea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Decapoda_Pleocyemata_Gebiidea_Laomediidae_like;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Euphausiacea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Euphausiacea_Euphausia;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Euphausiacea_calyptopsis;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Isopoda;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Mysida;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Eumalacostraca_Mysida_protozoea;Eumalacostraca;Eumalacostraca;Eumalacostraca
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Malacostraca_Hoplocarida_Stomatopoda_Squillidae_larvae;large_crustracean;large_crustracean;large_crustracean
living_Eukaryota_Opisthokonta_Holozoa_Metazoa_Arthropoda_Crustacea_Maxillopoda_Copepoda;Copepoda;Copepoda_unid;Copepoda_unid
